"中国计算机学会推荐国际学术会议
（计算机图形学与多媒体）",,,,,
一、A 类,,,,,
序号,会议简称,会议名称,出版社,网址,
1,ACM MM,ACM International Conference on Multimedia,ACM,http://dblp.uni-trier.de/db/conf/mm/,
2,SIGGRAPH,ACM SIGGRAPH Annual Conference,ACM,http://dblp.uni-trier.de/db/conf/siggraph/index.html,
3,VR,IEEE Virtual Reality,IEEE,http://dblp.uni-trier.de/db/conf/vr/,
4,IEEE VIS,IEEE Visualization Conference,IEEE,http://dblp.uni-trier.de/db/conf/visualization/index.html,
