"中国计算机学会推荐国际学术会议和期刊目录
（2019 年）
中国计算机学会",,,,,
"中国计算机学会推荐国际学术期刊
（计算机体系结构/并行与分布计算/存储系统）",,,,,
一、A 类,,,,,
序号,刊物简称,刊物全称,出版社,网址,
1,TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.uni-trier.de/db/journals/tocs/,
2,TOS,ACM Transactions on Storage,ACM,http://dblp.uni-trier.de/db/journals/tos/,
3,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits And System,IEEE,http://dblp.uni-trier.de/db/journals/tcad/,
4,TC,IEEE Transactions on Computers,IEEE,http://dblp.uni-trier.de/db/journals/tc/index.html,
5,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/journals/tpds/,
