"中国计算机学会推荐国际学术会议
(数据库／数据挖掘／内容检索)",,,,,
一、A 类,,,,,
序号,会议简称,会议全称,出版社,网址,
1,SIGMOD,ACM Conference on Management of Data,ACM,http://dblp.uni-trier.de/db/conf/sigmod/,
2,SIGKDD,ACM Knowledge Discovery and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/kdd/,
3,ICDE,"IEEE International Conference on Data
Engineering",IEEE,http://dblp.uni-trier.de/db/conf/icde/,
4,SIGIR,International Conference on Research on Development in Information Retrieval,ACM,http://dblp.uni-trier.de/db/conf/sigir/,
5,VLDB,International Conference on Very Large Data Bases,Morgan Kaufmann/ACM,http://dblp.uni-trier.de/db/conf/vldb/,
