"中国计算机学会推荐国际学术会议
（网络与信息安全）",,,,,
一、A 类,,,,,
序号,会议简称,会议全称,出版社,网址,
1,CCS,"ACM Conference on Computer and
Communications Security",ACM,http://dblp.uni-trier.de/db/conf/ccs/,
2,EUROCRYPT,European Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/eurocrypt/,
3,S&P,IEEE Symposium on Security and Privacy,IEEE,http://dblp.uni-trier.de/db/conf/sp/,
4,CRYPTO,International Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/crypto/,
5,USENIX Security,Usenix Security Symposium,USENIX Association,http://dblp.uni-trier.de/db/conf/uss/,
