"中国计算机学会推荐国际学术会议
（计算机网络）",,,,,
一、A 类,,,,,
序号,会议简称,会议全称,出版社,网址,
1,SIGCOMM,"ACM International Conference on Applications,
Technologies, Architectures, and Protocols for Computer Communication",ACM,http://dblp.uni-trier.de/db/conf/sigcomm/index.html,
2,MobiCom,"ACM International Conference on Mobile
Computing and Networking",ACM,http://dblp.uni-trier.de/db/conf/mobicom/,
3,INFOCOM,"IEEE International Conference on Computer
Communications",IEEE,http://dblp.uni-trier.de/db/conf/infocom/,
4,NSDI,"Symposium on Network System Design and
Implementation",USENIX,http://dblp.uni-trier.de/db/conf/nsdi/,
